ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
150,Anna,2017,97,2.1,492,Michael Crum,,Justin Duncan|Gerald Crum|Shanon Snedden,Horror,4357373,1200000
151,The Head Hunter,2018,72,5.4,7100,Jordan Downey,"Kevin Stewart, Jordan Downey",Christopher Rygh|Cora Kaufman|Aisha Ricketts,Fantasy|Horror,30000,44652
152,Ring Ring,2019,72,4.2,555,Adam Marino,"Naman Barsoom, Adam Marino, Daniel Wallner",Kirby Bliss Blanton|Malcolm Goodwin|Tommy Kijas,Action|Horror|Thriller,1200000,19400000
153,Rum,2017,131,4.1,149,Sai Bharath,,Arjun Chidambaram|Miya George|Hrishikesh,Horror,10000000,2494480
154,Phoenix Forgotten,2017,87,5.3,7000,Justin Barber,"T.S. Nowlin, Justin Barber",Florence Hartigan|Luke Spencer Roberts|Chelsea Lopez,Horror|Mystery|Sci-Fi,2800000,3600000
155,A Quiet Place,2018,90,7.5,585000,John Krasinski,"Bryan Woods, Scott Beck, John Krasinski",Emily Blunt|John Krasinski|Millicent Simmonds,Drama|Horror|Sci-Fi,17000000,340955294
156,The Intruder,2019,102,5.6,20000,Deon Taylor,David Loughery,Michael Ealy|Meagan Good|Dennis Quaid,Horror|Thriller,8000000,40600000
157,Revenge,2017,108,6.4,48000,Coralie Fargeat,Coralie Fargeat,Matilda Anna Ingrid Lutz|Kevin Janssens|Vincent Colombe,Action|Drama|Horror,2900000,938055
158,Truth or Dare,2018,100,5.2,63000,Jeff Wadlow,"Michael Reisz, Jillian Jacobs, Christopher Roach",Lucy Hale|Tyler Posey|Violett Beane,Horror|Thriller,3500000,95330493
159,Don't Let Go,2019,103,6.4,13000,Jacob Estes,"Jacob Estes, Drew Daywalt",David Oyelowo|Storm Reid|Mykelti Williamson,Drama|Horror|Mystery,5000000,5300000
160,Glass,2019,129,6.6,274000,M. Night Shyamalan,M. Night Shyamalan,James McAvoy|Bruce Willis|Samuel L. Jackson,Drama|Horror|Sci-Fi,20000000,247000000
161,It Knows,2018,76,4.0,112,"Mark L. Maness, Rob Winfrey","Mark L. Maness, Rob Winfrey",Carmen Patterson|Dan Michael|Lauren Lasseigne,Horror,11318430,17997350
162,Us,2019,116,6.8,342000,Jordan Peele,Jordan Peele,Lupita Nyong'o|Winston Duke|Elisabeth Moss,Horror|Mystery|Thriller,20000000,256067149
163,Resident Evil: Welcome to Raccoon City,2021,107,5.2,64000,Johannes Roberts,Johannes Roberts,Kaya Scodelario|Robbie Amell|Hannah John-Kamen,Action|Horror|Sci-Fi,25000000,41914915
164,Call TV,2017,84,3.3,191,Norberto Ramos del Val,"Pablo Vázquez, Ricardo López Toledo",María Hervás|Ismael Martínez|Álvaro Lafora,Comedy|Crime|Horror,3500000,43143046
165,Mandy,2018,121,6.5,90000,Panos Cosmatos,"Panos Cosmatos, Aaron Stewart-Ahn, Casper Kelly",Nicolas Cage|Andrea Riseborough|Linus Roache,Action|Fantasy|Horror,6000000,1653784
166,The Conjuring: The Devil Made Me Do It,2021,112,6.3,139000,Michael Chaves,"David Leslie Johnson-McGoldrick, James Wan, Chad Hayes",Patrick Wilson|Vera Farmiga|Ruairi O'Connor,Horror|Mystery|Thriller,39000000,206431050
167,Pengabdi Setan,2017,107,6.5,11000,Joko Anwar,"Joko Anwar, Sisworo Gautama Putra, Naryono Prayitno",Tara Basro|Bront Palarae|Dimas Aditya,Drama|Horror|Mystery,147983,3888635
168,Blood of Dracula,1957,69,4.6,1500,Herbert L. Strock,Aben Kandel,Sandra Harrison|Louise Lewis|Gail Ganley,Horror,82000,2000000
169,The Curse of Frankenstein,1957,82,7.0,13000,Terence Fisher,"Jimmy Sangster, Mary Shelley",Peter Cushing|Hazel Court|Robert Urquhart,Horror|Sci-Fi|Thriller,270000,8000000
170,I Was a Teenage Werewolf,1957,76,5.1,2900,Gene Fowler Jr.,"Herman Cohen, Aben Kandel",Michael Landon|Yvonne Lime|Whit Bissell,Drama|Fantasy|Horror,82000,2000000
171,Not of This Earth,1957,67,6.1,2200,Roger Corman,"Charles B. Griffith, Mark Hanna",Paul Birch|Beverly Garland|Morgan Jones,Horror|Sci-Fi,100000,1000000
172,Attack of the 50 Foot Woman,1958,66,5.0,6300,Nathan Juran,Mark Hanna,Allison Hayes|William Hudson|Yvette Vickers,Horror|Sci-Fi,88000,480000
173,The Blob,1958,86,6.3,29000,"Irvin S. Yeaworth Jr., Russell S. Doughten Jr.","Theodore Simonson, Kay Linaker, Irvine H. Millgate",Steve McQueen|Aneta Corsaut|Earl Rowe,Horror|Sci-Fi,110000,4000000
174,Dracula,1958,82,7.2,28000,Terence Fisher,"Jimmy Sangster, Bram Stoker",Peter Cushing|Christopher Lee|Michael Gough,Drama|Horror,104880,3500000
175,The Fly,1958,94,7.1,26000,Kurt Neumann,"James Clavell, George Langelaan",David Hedison|Patricia Owens|Vincent Price,Drama|Horror|Sci-Fi,700000,3000000
176,Macabre,1958,72,5.7,1400,William Castle,"Robb White, Anthony Boucher",William Prince|Jim Backus|Christine White,Crime|Drama|Horror,90000,5000000
177,The Black Phone,2021,103,6.9,196000,Scott Derrickson,"Joe Hill, Scott Derrickson, C. Robert Cargill",Mason Thames|Madeleine McGraw|Ethan Hawke,Horror|Mystery|Thriller,16000000,161440742
178,Unsane,2018,98,6.4,50000,Steven Soderbergh,"Jonathan Bernstein, James Greer",Claire Foy|Joshua Leonard|Jay Pharoah,Drama|Horror|Mystery,1500000,14293601
179,47 Meters Down: Uncaged,2019,90,5.0,31000,Johannes Roberts,"Johannes Roberts, Ernest Riera",Sophie Nélisse|Corinne Foxx|Brianne Tju,Adventure|Drama|Horror,12000000,47582563
180,Pari,2018,136,6.6,7100,Prosit Roy,"Abhishek Banerjee, Prosit Roy, Anvita Dutt",Anushka Sharma|Parambrata Chattopadhyay|Rajat Kapoor,Fantasy|Horror|Mystery,25000000,26611650
181,It Chapter Two,2019,169,6.5,303000,Andy Muschietti,"Stephen King, Gary Dauberman",Jessica Chastain|James McAvoy|Bill Hader,Drama|Fantasy|Horror,79000000,473123154
182,Aval,2017,137,6.7,2700,Milind Rau,"Chandan Arora, Rahul Ramchandani, Milind Rau",Siddharth|Andrea Jeremiah|Anisha Victor,Horror,1250000,55000
183,The Turning,2020,94,3.9,16000,Floria Sigismondi,"Henry James, Chad Hayes, Carey W. Hayes",Mackenzie Davis|Finn Wolfhard|Brooklynn Prince,Drama|Horror|Mystery,14000000,19428166
184,Out of Darkness,2022,88,5.5,4000,Andrew Cumming,"Ruth Greenberg, Andrew Cumming, Oliver Kassman",Iola Evans|Arno Lüning|Rosebud Melarkey,Horror|Thriller,1500000,1729518
185,Zoo,2018,95,5.5,2100,Antonio Tublen,Antonio Tublen,Zoë Tapper|Ed Speleers|Antonia Campbell-Hughes,Comedy|Drama|Horror,4000000,231719
186,Antlers,2021,99,5.9,45000,Scott Cooper,"Henry Chaisson, Nick Antosca, Scott Cooper",Keri Russell|Jesse Plemons|Jeremy T. Thomas,Drama|Horror|Mystery,17000000,18867659
187,Brightburn,2019,90,6.1,108000,David Yarovesky,"Brian Gunn, Mark Gunn",Elizabeth Banks|David Denman|Jackson A. Dunn,Drama|Horror|Mystery,6000000,33224654
188,Hereditary,2018,127,7.3,379000,Ari Aster,Ari Aster,Toni Collette|Milly Shapiro|Gabriel Byrne,Drama|Horror|Mystery,10000000,87825916
189,Shob Bhooturey,2017,115,5.3,231,Birsa Dasgupta,Kallol Lahiri,Ambarish Banerjee|Gambhira Bhattacharya|Biswajit Chakraborty,Horror,250000,225000
190,Ready or Not,2019,95,6.9,183000,"Matt Bettinelli-Olpin, Tyler Gillett","Guy Busick, R. Christopher Murphy",Samara Weaving|Adam Brody|Mark O'Brien,Action|Comedy|Horror,6000000,57600000
191,The Fanatic,2019,88,4.1,12000,Fred Durst,"Fred Durst, Dave Bekerman",John Travolta|Devon Sawa|Ana Golja,Crime|Drama|Horror,18000000,3153
192,Kamera o tomeru na!,2017,96,7.6,30000,Shin'ichirô Ueda,"Shin'ichirô Ueda, Ryoichi Wada",Takayuki Hamatsu|Yuzuki Akiyama|Harumi Shuhama,Comedy|Drama|Horror,52406,27590180
193,Ma,2019,99,5.6,60000,Tate Taylor,Scotty Landes,Octavia Spencer|Diana Silvers|Juliette Lewis,Horror|Mystery|Thriller,5000000,51749995
194,Pari,2018,150,3.9,181,Syed Atif Ali,"Syed Atif Ali, Ahsan Muhammad",Junaid Akhtar|Azekah Daniel|Khushi Maheen,Horror,25000000,26611650
195,The Lighthouse,2019,109,7.4,256000,Robert Eggers,"Robert Eggers, Max Eggers",Robert Pattinson|Willem Dafoe|Valeriia Karaman,Drama|Fantasy|Horror,11000000,18100000
196,Kuru,2018,135,6.2,1400,Tetsuya Nakashima,"Hideto Iwai, Nobuhiro Monma, Tetsuya Nakashima",Jun'ichi Okada|Nana Komatsu|Satoshi Tsumabuki,Drama|Horror|Mystery,40000000,26620002
197,Come Play,2020,96,5.8,18000,Jacob Chase,Jacob Chase,Azhy Robertson|Gillian Jacobs|John Gallagher Jr.,Drama|Horror|Mystery,9000000,8119285
198,Bunker,2022,108,4.2,2600,Adrian Langley,Michael Huntsman,Eddie Ramos|Patrick Moltane|Julian Feder,Horror|Thriller|War,2500000,101045
199,Witch 2,2018,60,7.1,436,"Sergey A., Silvia de Satkliff","Sergey A., Silvia de Satkliff",Sergey A.|Silvia de Satkliff,Drama|Fantasy|Horror,5500000,24340302
200,Taxiwaala,2018,137,6.8,4000,Rahul Sankrityan,"Saikumar Reddy, Rahul Sankrityan",Vijay Deverakonda|Priyanka Jawalkar|Malvika Nair,Comedy|Horror|Thriller,1000000,100000000
201,Howl,2021,80,2.6,147,Michele Martin,Michele Martin,Michele Martin|Kenny Johnson|Scott Hamm Duenas,Horror,24000000,236049757
202,The Night,2020,105,5.5,3500,Kourosh Ahari,"Kourosh Ahari, Milad Jarmooz",Shahab Hosseini|Niousha Noor|Leah Oganyan,Horror|Mystery|Thriller,24000000,75634409
203,Stree,2018,128,7.5,39000,Amar Kaushik,"Raj Nidimoru, Krishna D.K., Sumit Arora",Ashish Chhipa|Rajkummar Rao|Shraddha Kapoor,Comedy|Horror,1700000,22000000
204,Bodies Bodies Bodies,2022,94,6.2,69000,Halina Reijn,"Sarah DeLappe, Kristen Roupenian",Amandla Stenberg|Maria Bakalova|Myha'la,Comedy|Horror|Mystery,3000000,13900000
205,Willy's Wonderland,2021,88,5.5,39000,Kevin Lewis,G.O. Parsons,Nicolas Cage|Emily Tosta|Beth Grant,Action|Comedy|Horror,5000000,431020
206,3 from Hell,2019,115,5.4,18000,Rob Zombie,"Rob Zombie, Rob Zombie",Sheri Moon Zombie|Bill Moseley|Sid Haig,Action|Horror,3000000,2295825
207,El hoyo,2019,94,7.0,273000,Galder Gaztelu-Urrutia,"David Desola, Pedro Rivero",Ivan Massagué|Zorion Eguileor|Antonia San Juan,Horror|Sci-Fi|Thriller,1203235,1090116
208,The Hunt,2020,90,6.5,129000,Craig Zobel,"Nick Cuse, Damon Lindelof",Betty Gilpin|Hilary Swank|Ike Barinholtz,Action|Horror|Thriller,14000000,10550350
209,Tvar,2019,90,4.7,511,Olga Gorodetskaya,"Olga Gorodetskaya, Maria Kabanova, Anna Starobinets",Elena Lyadova|Vladimir Vdovichenkov|Sevastian Bugaev,Drama|Horror|Thriller,25000000,66023329
210,The Wretched,2019,95,5.8,20000,"Brett Pierce, Drew T. Pierce","Brett Pierce, Drew T. Pierce",John-Paul Howard|Piper Curda|Jamison Jones,Horror|Mystery|Thriller,66000,3758846
211,A Quiet Place Part II,2020,97,7.2,274000,John Krasinski,"John Krasinski, Bryan Woods, Scott Beck",Emily Blunt|Millicent Simmonds|Cillian Murphy,Drama|Horror|Sci-Fi,61000000,297372261
212,Annabelle Comes Home,2019,106,5.9,87000,Gary Dauberman,"Gary Dauberman, James Wan",Vera Farmiga|Patrick Wilson|Mckenna Grace,Horror|Mystery|Thriller,27000000,231252591
213,Climax,2018,97,6.9,80000,Gaspar Noé,Gaspar Noé,Sofia Boutella|Romain Guillermic|Souheila Yacoub,Drama|Horror|Music,2900000,1700000
214,Crawl,2019,87,6.1,94000,Alexandre Aja,"Michael Rasmussen, Shawn Rasmussen",Kaya Scodelario|Barry Pepper|Morfydd Clark,Action|Adventure|Horror,13500000,91500000
215,Vivarium,2019,97,5.9,74000,Lorcan Finnegan,"Garret Shanley, Lorcan Finnegan",Imogen Poots|Danielle Ryan|Molly McCann,Horror|Mystery|Sci-Fi,4000000,488000
216,The Heiress,2021,83,3.3,1700,Chris Bell,"Chris Bell, Danny Prescott, Kelly Prescott",Candis Nergaard|Jayne Wisener|David Schaal,Horror,2600000,2300000
217,Rabbia furiosa,2018,120,5.7,216,Sergio Stivaletti,"Antonio Lusci, Sergio Stivaletti, Antonio Tentori",Riccardo De Filippis|Virgilio Olivari|Romuald Andrzej Klos,Crime|Horror|Thriller,1800000,31086
218,L'uomo del labirinto,2019,130,5.8,4900,Donato Carrisi,Donato Carrisi,Dustin Hoffman|Toni Servillo|Valentina Bellè,Crime|Drama|Horror,4000000,2514679
219,Child's Play,2019,90,5.7,56000,Lars Klevberg,"Tyler Burton Smith, Don Mancini, John Lafia",Tim Matheson|Ben Daon|Zahra Anderson,Drama|Horror|Sci-Fi,10000000,44902237
220,The Dead Don't Die,2019,104,5.5,86000,Jim Jarmusch,Jim Jarmusch,Bill Murray|Adam Driver|Tilda Swinton,Comedy|Fantasy|Horror,11000000,15800000
221,M3GAN,2022,102,6.3,143000,Gerard Johnstone,"Akela Cooper, James Wan",Allison Williams|Violet McGraw|Ronny Chieng,Horror|Sci-Fi|Thriller,12000000,180089109
222,Midsommar,2019,148,7.1,405000,Ari Aster,Ari Aster,Florence Pugh|Jack Reynor|Vilhelm Blomgren,Drama|Horror|Mystery,9000000,48015416
223,Shortcut,2020,80,4.1,1800,Alessio Liguori,Daniele Cosci,Jack Kane|Zanda Emlano|Zak Sutcliffe,Adventure|Fantasy|Horror,1400000,769563
224,Gojira,1984,103,6.8,2400,Koji Hashimoto,"Fred Dekker, Akira Murao, Hideichi Nagahara",Keiju Kobayashi|Ken Tanaka|Yasuko Sawaguchi,Action|Drama|Horror,6000000,11000000
225,"Pup-o, ma!",2018,93,6.1,823,Camelia Popa,"Salex Iatma, Alin Panc",Alexandru Pop|Cosmin Selesi|Florin Busuioc,Comedy|Fantasy|Horror,11000,100000
226,Relic,2020,89,6.0,30000,Natalie Erika James,"Natalie Erika James, Christian White",Robyn Nevin|Emily Mortimer|Bella Heathcote,Drama|Horror|Mystery,1229578,3238539
227,Gretel & Hansel,2020,87,5.5,34000,Oz Perkins,"Rob Hayes, Jacob Grimm, Wilhelm Grimm",Sophia Lillis|Samuel Leakey|Alice Krige,Fantasy|Horror|Mystery,5000000,22304357
228,Brahms: The Boy II,2020,86,4.7,21000,William Brent Bell,Stacey Menear,Katie Holmes|Christopher Convery|Owain Yeoman,Drama|Horror|Mystery,10000000,20311536
229,Meg 2: The Trench,2023,116,5.0,79000,Ben Wheatley,"Jon Hoeber, Erich Hoeber, Dean Georgaris",Jason Statham|Jing Wu|Shuya Sophia Cai,Action|Adventure|Horror,129000000,384056482
230,Werewolves Within,2021,97,6.0,25000,Josh Ruben,Mishna Wolff,Sam Richardson|Milana Vayntrub|George Basil,Comedy|Horror|Mystery,6500000,937490
231,Candyman,2021,91,5.9,76000,Nia DaCosta,"Jordan Peele, Win Rosenfeld, Nia DaCosta",Yahya Abdul-Mateen II|Teyonah Parris|Nathan Stewart-Jarrett,Horror|Thriller,25000000,77411570
232,The Unholy,2021,99,5.1,28000,Evan Spiliotopoulos,"Evan Spiliotopoulos, James Herbert",Jeffrey Dean Morgan|Cricket Brown|William Sadler,Drama|Horror|Mystery,10000000,30800000
233,Last Night in Soho,2021,116,7.0,178000,Edgar Wright,"Edgar Wright, Krysty Wilson-Cairns",Thomasin McKenzie|Anya Taylor-Joy|Matt Smith,Drama|Horror|Mystery,43000000,22957625
234,The Menu,2022,107,7.2,394000,Mark Mylod,"Seth Reiss, Will Tracy",Ralph Fiennes|Anya Taylor-Joy|Nicholas Hoult,Comedy|Horror|Thriller,35000000,79628200
235,Escape Room: Tournament of Champions,2021,88,5.7,60000,Adam Robitel,"Will Honley, Maria Melnik, Daniel Tuch",Taylor Russell|Logan Miller|Deborah Ann Woll,Action|Adventure|Horror,15000000,65774490
236,VFW,2019,92,6.1,9600,Joe Begos,"Max Brallier, Matthew McArdle",Stephen Lang|William Sadler|Fred Williamson,Action|Crime|Horror,1000000,23101
237,The Killer Shrews,1959,69,4.1,5700,Ray Kellogg,Jay Simms,James Best|Ingrid Goude|Ken Curtis,Horror|Sci-Fi,123000,1000000
238,The Fall of the House of Usher,1960,79,6.9,15000,Roger Corman,"Edgar Allan Poe, Richard Matheson",Vincent Price|Mark Damon|Myrna Fahey,Drama|Horror,270000,1450000
239,Peeping Tom,1960,101,7.6,39000,Michael Powell,Leo Marks,Karlheinz Böhm|Anna Massey|Moira Shearer,Drama|Horror|Thriller,150000,83957
240,Psycho,1960,109,8.5,718000,Alfred Hitchcock,"Joseph Stefano, Robert Bloch",Anthony Perkins|Janet Leigh|Vera Miles,Horror|Mystery|Thriller,806947,32000000
241,Village of the Damned,1960,77,7.3,19000,Wolf Rilla,"Stirling Silliphant, Wolf Rilla, Ronald Kinnoch",George Sanders|Barbara Shelley|Martin Stephens,Horror|Sci-Fi,200000,2175000
242,Pit and the Pendulum,1961,80,7.0,16000,Roger Corman,"Richard Matheson, Edgar Allan Poe",Vincent Price|Barbara Steele|John Kerr,Drama|Horror|Mystery,200000,2000000
243,The Birds,1963,119,7.6,205000,Alfred Hitchcock,"Daphne Du Maurier, Evan Hunter",Rod Taylor|Tippi Hedren|Jessica Tandy,Drama|Horror|Mystery,2500000,11500000
244,Blood Feast,1963,67,5.0,7300,Herschell Gordon Lewis,"Louise Downe, David F. Friedman, Herschell Gordon Lewis",William Kerwin|Mal Arnold|Connie Mason,Horror,24500,4000000
245,The Raven,1963,86,6.5,14000,Roger Corman,"Edgar Allan Poe, Richard Matheson",Vincent Price|Peter Lorre|Boris Karloff,Comedy|Fantasy|Horror,350000,1499275
246,"Dracula, Prince of Darkness",1966,90,6.6,11000,Terence Fisher,"Jimmy Sangster, Anthony Hinds, Bram Stoker",Christopher Lee|Barbara Shelley|Andrew Keir,Horror,280379,364937
247,Queen of Blood,1966,78,5.2,2400,Curtis Harrington,"Curtis Harrington, Mikhail Karyukov, Otar Koberidze",John Saxon|Basil Rathbone|Judi Meredith,Horror|Sci-Fi,65000,1730000
248,Witchfinder General,1968,86,6.7,12000,Michael Reeves,"Tom Baker, Michael Reeves, Louis M. Heyward",Vincent Price|Ian Ogilvy|Rupert Davies,Drama|Horror,83000,1500000
249,Night of the Living Dead,1968,96,7.8,139000,George A. Romero,"John A. Russo, George A. Romero",Duane Jones|Judith O'Dea|Karl Hardman,Horror|Thriller,114000,30000000
250,Rosemary's Baby,1968,137,8.0,235000,Roman Polanski,"Ira Levin, Roman Polanski",Mia Farrow|John Cassavetes|Ruth Gordon,Drama|Horror,3200000,33395426
251,Il gatto a nove code,1971,112,6.6,13000,Dario Argento,"Dario Argento, Luigi Cozzi, Dardano Sacchetti",James Franciscus|Karl Malden|Catherine Spaak,Horror|Mystery|Thriller,1000000,1204739
252,"Count Yorga, Vampire",1970,93,5.7,3100,Bob Kelljan,Bob Kelljan,Robert Quarry|Roger Perry|Michael Murphy,Drama|Fantasy|Horror,64000,7000000
253,La figlia di Frankenstein,1971,93,5.1,2500,"Mel Welles, Aureliano Luppi","Dick Randall, Edward Di Lorenzo, Mel Welles",Joseph Cotten|Rosalba Neri|Paul Muller,Horror,200000,225295
254,Beware! The Blob,1972,87,4.1,2400,Larry Hagman,"Jack Woods, Anthony Harris, Richard Clair",Robert Walker Jr.|Gwynne Gilford|Richard Stahl,Comedy|Horror|Sci-Fi,150000,90833
255,Dracula,1931,75,7.4,59000,"Tod Browning, Karl Freund","Bram Stoker, Hamilton Deane, John L. Balderston",Bela Lugosi|Helen Chandler|David Manners,Drama|Fantasy|Horror,355000,700000
256,Drácula,1931,104,7.0,5100,George Melford,"Bram Stoker, Baltasar Fernández Cué, John L. Balderston",Carlos Villarías|Lupita Tovar|Barry Norton,Drama|Fantasy|Horror,355000,700000
257,Frankenstein,1931,70,7.8,80000,James Whale,"John L. Balderston, Mary Shelley, Peggy Webling",Colin Clive|Mae Clarke|Boris Karloff,Drama|Horror|Sci-Fi,291000,12000000
258,Dr. Jekyll and Mr. Hyde,1931,98,7.6,16000,Rouben Mamoulian,"Samuel Hoffenstein, Percy Heath, Robert Louis Stevenson",Fredric March|Miriam Hopkins|Rose Hobart,Horror|Sci-Fi,535000,1300000
259,The Most Dangerous Game,1932,63,7.1,14000,"Irving Pichel, Ernest B. Schoedsack","James Ashmore Creelman, Richard Connell",Joel McCrea|Fay Wray|Leslie Banks,Action|Adventure|Horror,219869,443000
260,The Legend of Boggy Creek,1972,87,5.2,3600,Charles B. Pierce,Earl E. Smith,Willie E. Smith|John P. Hixon|Vern Stierman,Drama|Horror|Mystery,160000,22000000
261,The Exorcist,1973,122,8.1,455000,William Friedkin,William Peter Blatty,Ellen Burstyn|Max von Sydow|Linda Blair,Horror,12000000,441306145
262,Sisters,1972,93,6.9,21000,Brian De Palma,"Brian De Palma, Louisa Rose",Margot Kidder|Jennifer Salt|Charles Durning,Horror|Mystery|Thriller,500000,1000000
263,A Thief in the Night,1972,69,4.5,1000,Donald W. Thompson,"Donald W. Thompson, Russell S. Doughten Jr., Grant James",Patty Dunning|Mike Niday|Colleen Niday,Drama|Fantasy|Horror,60000,4200000
264,The Wicker Man,1973,88,7.5,92000,Robin Hardy,"Anthony Shaffer, David Pinner",Edward Woodward|Christopher Lee|Diane Cilento,Horror|Mystery|Thriller,810000,513000
265,Black Christmas,1974,98,7.1,48000,Bob Clark,Roy Moore,Olivia Hussey|Keir Dullea|Margot Kidder,Horror|Mystery|Thriller,686000,4000000
266,It's Alive,1974,91,5.8,9000,Larry Cohen,Larry Cohen,John P. Ryan|Sharon Farrell|Andrew Duggan,Horror|Sci-Fi,500000,7100000
267,The Texas Chain Saw Massacre,1974,83,7.4,184000,Tobe Hooper,"Kim Henkel, Tobe Hooper",Marilyn Burns|Edwin Neal|Allen Danziger,Horror,140000,30900000
268,The Giant Spider Invasion,1975,84,3.3,4600,Bill Rebane,"Richard L. Huff, Robert Easton",Steve Brodie|Barbara Hale|Robert Easton,Horror|Sci-Fi,300000,15000000
269,The Rocky Horror Picture Show,1975,100,7.4,167000,Jim Sharman,"Richard O'Brien, Jim Sharman",Tim Curry|Susan Sarandon|Barry Bostwick,Comedy|Horror|Musical,1400000,170000000
270,Shivers,1975,87,6.3,24000,David Cronenberg,David Cronenberg,Paul Hampton|Joe Silver|Lynn Lowry,Horror|Sci-Fi,179000,1000000
271,The Stepford Wives,1975,115,6.9,20000,Bryan Forbes,"Ira Levin, William Goldman",Katharine Ross|Paula Prentiss|Peter Masterson,Horror|Mystery|Sci-Fi,500000,8700000
272,Carrie,1976,98,7.4,207000,Brian De Palma,"Stephen King, Lawrence D. Cohen",Sissy Spacek|Piper Laurie|Amy Irving,Horror|Mystery,1800000,33800000
273,Eraserhead,1977,89,7.3,127000,David Lynch,David Lynch,Jack Nance|Charlotte Stewart|Allen Joseph,Fantasy|Horror,100000,7000000
274,Inugami-ke no ichizoku,1976,146,7.2,1200,Kon Ichikawa,"Norio Osada, Shin'ya Hidaka, Kon Ichikawa",Kôji Ishizaka|Yôko Shimada|Teruhiko Aoi,Drama|Horror|Mystery,1502000,10646000
275,King Kong,1976,134,6.0,36000,John Guillermin,"James Ashmore Creelman, Ruth Rose, Merian C. Cooper",Jeff Bridges|Charles Grodin|Jessica Lange,Adventure|Horror,23000000,90614445
276,The Omen,1976,111,7.5,133000,Richard Donner,David Seltzer,Gregory Peck|Lee Remick|Harvey Stephens,Horror|Mystery,2800000,60922980
277,Empire of the Ants,1977,89,4.3,5500,Bert I. Gordon,"H.G. Wells, Jack Turley, Bert I. Gordon",Joan Collins|Robert Lansing|John David Carson,Adventure|Horror|Sci-Fi,500000,2500000
278,Escalofrío,1978,82,6.0,1300,"Carlos Puerto, Juan Piquer Simón",Carlos Puerto,Ángel Aranda|Sandra Alberti|Mariana Karr,Horror,175000,594947
279,Exorcist II: The Heretic,1977,117,3.8,28000,"John Boorman, Rospo Pallenberg","William Goodhart, William Peter Blatty, Rospo Pallenberg",Richard Burton|Linda Blair|Louise Fletcher,Horror,14000000,30749142
280,Kingdom of the Spiders,1977,97,5.7,6200,John 'Bud' Cardos,"Richard Robinson, Alan Caillou, Jeffrey M. Sneller",William Shatner|Tiffany Bolling|Woody Strode,Horror|Sci-Fi,500000,17000000
281,Orca,1977,92,5.7,13000,Michael Anderson,"Luciano Vincenzoni, Sergio Donati, Robert Towne",Richard Harris|Charlotte Rampling|Will Sampson,Adventure|Drama|Horror,17500000,14717854
